id,loss
4,1518.31628034
6,1902.10231421
9,9674.35219949
12,6565.80453099
15,760.388330214
17,2311.74899201
21,2080.8792827
28,834.383043055
32,2691.40157406
43,3118.4475304
46,2801.88999622
50,925.151423941
54,1159.44238366
62,1929.89720406
70,2267.85892408
71,4967.50201886
75,2076.37389057
77,2440.4620133
81,2571.79669286
83,2453.75249537
87,1904.80798446
97,1612.69184016
103,1094.19891689
119,1009.92122642
120,1792.33671283
127,947.873444549
138,4901.42777558
141,3635.42264719
148,702.180063586
150,2411.33340515
151,2216.10457216
158,1443.82940197
160,5852.84981661
165,2616.76120877
168,3813.91592505
169,3834.93320703
177,2834.29576933
178,3562.61438311
184,2104.30886176
194,9796.96783097
198,1655.04392721
203,3436.63369308
211,2302.10246705
217,1247.91812697
219,1276.70161595
221,4976.38807791
227,1833.13803519
230,1531.03433679
235,1919.52669952
240,650.440271919
243,2930.65246848
249,6558.64847549
253,2755.67409513
258,1365.30212068
261,1689.74583761
263,3518.03663874
264,2390.05155729
265,4109.7984641
268,1903.48751346
271,1025.11485352
274,6025.55037571
275,647.517899416
279,1495.33679971
282,1551.03342938
286,3336.15678123
288,1031.88978544
294,2067.16467264
296,996.476863183
297,1323.00167345
300,742.425575275
303,8586.84955478
314,958.802481118
315,4649.29962862
321,2597.17919123
323,3679.36025346
330,3853.50157447
341,2015.37950261
342,4643.15925487
352,1545.55432944
353,3561.67072185
360,5164.74616256
361,2282.22439338
362,4624.91479358
366,1321.54318374
372,3451.32603014
376,2851.67440758
377,2316.96288789
379,1537.5276578
380,3719.92815716
387,1772.84804986
392,1957.09438946
394,10828.0836633
395,1536.83204164
397,1451.58521156
407,5814.37442903
411,9406.41011032
416,2475.95454812
417,1534.52539257
419,4305.09194222
428,6277.27530973
431,1820.02206378
436,9151.62625842
438,1642.61462346
445,6789.10165394
446,6848.10889975
455,1298.95719449
456,1246.14962534
461,923.051861453
463,1859.18479544
464,3835.50831136
466,1622.593567
467,1278.42975788
470,1258.98111342
475,1424.03424546
482,3514.81563048
490,3643.49548014
496,1783.6384965
497,4558.34563733
508,2819.49006422
510,1813.01034036
512,1886.19200751
513,3453.1631276
523,1749.04844233
531,5036.31010201
532,2235.7141048
533,1331.33627542
537,1164.34054402
544,4872.15770699
547,2528.77154581
556,8060.58282896
565,1384.16313645
566,1159.28972603
571,1383.41469534
573,1767.8465745
574,914.993150053
581,1986.88119788
585,2083.04601187
589,1777.58531782
597,1780.86260444
601,3330.2595073
602,1841.22413171
613,1488.45446057
616,1389.06626047
619,2219.95750291
622,1896.96661939
623,1961.21926748
629,1587.99259507
634,1493.01969032
638,1002.99132148
642,1042.27033133
643,2062.70885508
645,992.562370859
648,7194.07059088
652,1178.76810756
664,989.360663789
666,2294.255354
672,851.025609377
676,2308.38822068
678,4713.3996741
682,1887.48601929
686,2959.91486479
688,2156.81421686
689,1189.57126045
690,1743.70442745
692,12416.5302679
695,1589.673816
697,3671.27680184
